Series Name,Series Code,Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,United Arab Emirates,ARE,,,,91.2876719,93.84383582,91.78319708,55.726109,48.27282673,54.05863479,57.73031086,62.25327591,63.71975843,62.30491,43.52460139,49.98958427,53.5351087,47.23141808,55.84504638,50.79041319,37.65155235,31.55897402,36.00316543,68.5547547,77.95149208,
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,United Arab Emirates,ARE,7.98687242,8.321109526,8.252690413,8.436671393,9.77971432,7.946042335,8.335892897,9.38972051,9.90310929,10.07084906,10.97695063,10.71632289,9.529043286,9.002014495,8.992361475,9.412692556,9.236826695,9.253872923,9.625425148,,,,,,
